,narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
17277,P04_07_5,P04,P04_07,00:00:10.000,00:00:09.66,00:00:13.42,579,805,pick up tupperware,pick-up,0,tupperware,23,['tupperware'],[23]
60509,P30_104_100,P30,P30_104,00:03:34.60,00:03:32.00,00:03:35.25,10600,10762,pick up mug,pick-up,0,mug,13,['mug'],[13]
31148,P11_05_163,P11,P11_05,00:09:50.970,00:09:50.67,00:09:52.25,35440,35535,get fork,get,0,fork,14,['fork'],[14]
29877,P09_103_5,P09,P09_103,00:00:26.842,00:00:24.64,00:00:30.58,1232,1529,open chicken package,open,3,package:chicken,26,['package:chicken'],[26]
11861,P02_131_46,P02,P02_131,00:03:35.161,00:03:34.97,00:03:35.57,10748,10778,pick up chopping board,pick-up,0,board:chopping,18,['board:chopping'],[18]
27837,P08_04_47,P08,P08_04,00:02:24.650,00:02:24.82,00:02:26.37,8689,8782,open cupboard,open,3,cupboard,3,['cupboard'],[3]
29361,P08_24_36,P08,P08_24,00:02:31.610,00:02:25.00,00:02:26.80,8700,8808,get potato,get,0,potato,30,['potato'],[30]
4420,P01_17_12,P01,P01_17,00:00:36.000,00:00:35.08,00:00:36.53,2104,2191,open fridge,open,3,fridge,12,['fridge'],[12]
65001,P35_105_191,P35,P35_105,00:13:47.366,00:13:47.19,00:13:47.98,41359,41399,take fork,take,0,fork,14,['fork'],[14]
8019,P02_108_16,P02,P02_108,00:00:39.161,00:00:38.26,00:00:39.99,1913,1999,put down flour,put-down,1,flour,75,['flour'],[75]
33191,P12_101_329,P12,P12_101,00:19:41.004,00:19:40.01,00:19:41.54,59000,59077,pick up spoon,pick-up,0,spoon,1,['spoon'],[1]
60397,P30_101_79,P30,P30_101,00:02:32.100,00:02:30.71,00:02:32.08,7535,7603,pick up fork,pick-up,0,fork,14,['fork'],[14]
61989,P30_10_1,P30,P30_10,00:00:09.800,00:00:06.46,00:00:07.99,387,479,open bin,open,3,bin,36,['bin'],[36]
7733,P02_105_129,P02,P02_105,00:04:12.660,00:04:12.61,00:04:16.81,12630,12840,pick up wooden spoon,pick-up,0,spoon:wooden,1,['spoon:wooden'],[1]
42131,P22_112_159,P22,P22_112,00:06:04.684,00:06:03.39,00:06:04.42,18169,18221,open bag,open,3,bag,19,['bag'],[19]
63946,P35_103_160,P35,P35_103,00:18:18.866,00:18:17.75,00:18:20.62,54887,55030,rinse spoon,rinse,2,spoon,1,['spoon'],[1]
65602,P35_107_36,P35,P35_107,00:01:46.350,00:01:45.71,00:01:46.61,5285,5330,pick up glass,pick-up,0,glass,10,['glass'],[10]
23647,P05_03_8,P05,P05_03,00:00:28.000,00:00:27.97,00:00:28.83,1678,1729,take colander,take,0,colander,39,['colander'],[39]
23535,P05_03_124,P05,P05_03,00:10:15.000,00:10:15.14,00:10:16.50,36908,36990,take wooden spoon,take,0,spoon:wooden,1,['spoon:wooden'],[1]
37896,P22_08_20,P22,P22_08,00:00:44.559,00:00:43.67,00:00:44.46,2620,2667,take box,take,0,box,23,['box'],[23]
64245,P35_104_213,P35,P35_104,00:15:22.944,00:15:23.00,00:15:24.61,46150,46230,put down plate,put-down,1,plate,2,['plate'],[2]
26799,P07_10_266,P07,P07_10,00:26:21.680,00:26:20.20,00:26:21.15,94812,94869,rinse coriander,rinse,2,coriander,173,['coriander'],[173]
45763,P22_17_516,P22,P22_17,00:19:41.359,00:19:40.75,00:19:41.98,70845,70918,put down remote control,put-down,1,control:remote,221,['control:remote'],[221]
50016,P25_106_37,P25,P25_106,00:03:40.356,00:03:39.56,00:03:41.06,10978,11053,pick up oil,pick-up,0,oil,31,['oil'],[31]
44357,P22_14_237,P22,P22_14,00:09:34.090,00:09:34.20,00:09:35.85,34452,34551,put cutlery,put,1,cutlery,58,['cutlery'],[58]
1019,P01_09_101,P01,P01_09,00:05:35.630,00:05:34.40,00:05:35.88,20064,20152,put down bowl,put-down,1,bowl,7,['bowl'],[7]
8872,P02_112_283,P02,P02_112,00:18:04.159,00:18:04.60,00:18:06.92,54229,54346,place meat on dough,place-on,1,meat,28,"['meat', 'dough']","[28, 25]"
40031,P22_109_186,P22,P22_109,00:05:40.854,00:05:40.48,00:05:41.29,17024,17064,put down degreaser,put-down,1,degreaser,22,['degreaser'],[22]
45173,P22_16_458,P22,P22_16,00:21:46.870,00:21:46.64,00:21:47.39,78398,78443,place fork,place,1,fork,14,['fork'],[14]
16447,P04_02_90,P04,P04_02,00:08:15.810,00:08:15.28,00:08:16.80,29716,29808,pick up kitchen roll,pick-up,0,roll:kitchen,93,['roll:kitchen'],[93]
54788,P27_104_316,P27,P27_104,00:15:36.359,00:15:36.63,00:15:38.76,46831,46938,pick up bottle,pick-up,0,bottle,15,['bottle'],[15]
28637,P08_20_7,P08,P08_20,00:00:31.960,00:00:29.58,00:00:31.23,1774,1873,get knife,get,0,knife,4,['knife'],[4]
33281,P12_101_41,P12,P12_101,00:01:39.862,00:01:39.46,00:01:40.80,4973,5040,put down salt onto countertop,put-down,1,salt,38,"['salt', 'countertop']","[38, 42]"
44916,P22_16_226,P22,P22_16,00:10:02.120,00:10:09.46,00:10:10.21,36567,36612,put down spoon,put-down,1,spoon,1,['spoon'],[1]
55928,P28_08_13,P28,P28_08,00:00:57.360,00:00:56.91,00:00:57.92,3414,3475,put down sponge,put-down,1,sponge,9,['sponge'],[9]
42195,P22_112_62,P22,P22_112,00:01:59.101,00:01:58.44,00:01:59.53,5922,5976,pick up lid,pick-up,0,lid,6,['lid'],[6]
29532,P08_26_93,P08,P08_26,00:06:13.050,00:06:10.95,00:06:13.29,22257,22397,place knife,place,1,knife,4,['knife'],[4]
56874,P28_105_39,P28,P28_105,00:02:44.663,00:02:44.67,00:02:45.40,8233,8270,take tupperware,take,0,tupperware,23,['tupperware'],[23]
23706,P05_04_42,P05,P05_04,00:02:25.000,00:02:25.30,00:02:27.17,8718,8830,place glass on table,place-on,1,glass,10,"['glass', 'table']","[10, 42]"
20436,P04_112_40,P04,P04_112,00:01:07.603,00:01:07.29,00:01:08.07,3364,3403,put down tupperware lid,put-down,1,lid:tupperware,6,['lid:tupperware'],[6]
66265,P35_108_632,P35,P35_108,00:46:15.350,00:46:09.46,00:46:15.52,138473,138776,put down drying rack,put-down,1,rack:drying,110,['rack:drying'],[110]
52443,P26_119_89,P26,P26_119,00:07:31.899,00:07:29.08,00:07:32.55,22454,22627,open bag,open,3,bag,19,['bag'],[19]
65199,P35_105_37,P35,P35_105,00:01:53.350,00:01:52.79,00:01:54.79,5639,5739,put down mushrooms,put-down,1,mushroom,56,['mushroom'],[56]
11937,P02_132_24,P02,P02_132,00:00:54.405,00:00:53.66,00:00:54.74,2683,2737,put down cylinder covered with foil paper,put-down,1,cylinder,175,"['cylinder', 'paper:foil']","[175, 49]"
48765,P25_01_9,P25,P25_01,00:01:01.780,00:01:02.62,00:01:04.29,3757,3857,open lid,open,3,lid,6,['lid'],[6]
54329,P27_103_504,P27,P27_103,00:34:43.902,00:34:43.72,00:34:45.36,104185,104268,pick up plate,pick-up,0,plate,2,['plate'],[2]
61884,P30_109_182,P30,P30_109,00:06:31.600,00:06:30.76,00:06:31.36,19538,19568,pick up pitta bread,pick-up,0,bread:pitta,33,['bread:pitta'],[33]
64035,P35_103_25,P35,P35_103,00:04:19.874,00:04:17.92,00:04:20.42,12896,13021,pick up container,pick-up,0,container,21,['container'],[21]
19460,P04_109_398,P04,P04_109,00:11:54.600,00:11:54.16,00:11:55.02,35708,35751,put down tofu,put-down,1,tofu,81,['tofu'],[81]
59210,P30_04_68,P30,P30_04,00:03:25.019,00:03:24.04,00:03:25.39,12242,12323,take saucepan lid,take,0,lid:saucepan,6,['lid:saucepan'],[6]
3819,P01_109_495,P01,P01_109,00:34:39.353,00:34:38.77,00:34:39.57,103938,103978,pick up potato bit,pick-up,0,bit:potato,30,['bit:potato'],[30]
3410,P01_109_126,P01,P01_109,00:06:25.100,00:06:27.39,00:06:29.16,19369,19458,pick up potato slices,pick-up,0,slice:potato,30,['slice:potato'],[30]
7718,P02_105_114,P02,P02_105,00:03:44.656,00:03:44.67,00:03:49.31,11233,11465,rinse plate,rinse,2,plate,2,['plate'],[2]
8812,P02_112_229,P02,P02_112,00:15:46.152,00:15:44.00,00:15:49.54,47200,47477,place meat on dough,place-on,1,meat,28,"['meat', 'dough']","[28, 25]"
43525,P22_11_146,P22,P22_11,00:05:19.319,00:05:18.47,00:05:20.20,19108,19212,put on soap,put-on,1,soap,22,['soap'],[22]
57968,P29_01_2,P29,P29_01,00:00:16.330,00:00:13.21,00:00:15.36,792,921,pick up rice,pick-up,0,rice,55,['rice'],[55]
41290,P22_110_198,P22,P22_110,00:06:20.872,00:06:17.48,00:06:18.40,18874,18920,pick up food residue,pick-up,0,residue:food,54,['residue:food'],[54]
37462,P22_07_478,P22,P22_07,00:23:09.750,00:23:10.21,00:23:11.16,83412,83469,rinse cloth,rinse,2,cloth,17,['cloth'],[17]
48041,P24_05_47,P24,P24_05,00:04:15.470,00:04:18.91,00:04:19.63,15534,15577,pick up onion,pick-up,0,onion,16,['onion'],[16]
60614,P30_104_70,P30,P30_104,00:01:59.10,00:01:59.12,00:01:59.86,5956,5993,put down kettle,put-down,1,kettle,44,['kettle'],[44]
30408,P10_04_193,P10,P10_04,00:21:21.090,00:21:21.25,00:21:27.99,76875,77279,clean another bowl,clean,2,bowl,7,['bowl'],[7]
61031,P30_107_445,P30,P30_107,00:23:05.10,00:23:04.14,00:23:05.80,69207,69290,take plate,take,0,plate,2,['plate'],[2]
17069,P04_05_39,P04,P04_05,00:05:07.560,00:05:06.00,00:05:14.50,18360,18870,open garlic bag,open,3,bag:garlic,19,['bag:garlic'],[19]
44587,P22_15_182,P22,P22_15,00:06:55.680,00:06:52.30,00:06:54.98,24738,24898,rinse salad bowl,rinse,2,bowl:salad,7,['bowl:salad'],[7]
42458,P22_113_299,P22,P22_113,00:10:15.601,00:10:14.78,00:10:15.62,30739,30781,pick up knife,pick-up,0,knife,4,['knife'],[4]
33635,P12_104_155,P12,P12_104,00:10:44.260,00:10:43.33,00:10:43.88,32166,32194,pick up bowl,pick-up,0,bowl,7,['bowl'],[7]
44529,P22_15_13,P22,P22_15,00:00:33.259,00:00:31.36,00:00:32.51,1881,1950,set down filter,set-down,1,filter,77,['filter'],[77]
15511,P03_16_33,P03,P03_16,00:03:27.880,00:03:24.19,00:03:28.19,12251,12491,pick up kettle,pick-up,0,kettle,44,['kettle'],[44]
42699,P22_115_221,P22,P22_115,00:07:20.601,00:07:19.40,00:07:20.21,21970,22010,put down sponge,put-down,1,sponge,9,['sponge'],[9]
66163,P35_108_540,P35,P35_108,00:37:50.601,00:37:50.57,00:37:52.17,113528,113608,open drawer,open,3,drawer,8,['drawer'],[8]
35717,P20_03_7,P20,P20_03,00:00:21.300,00:00:14.89,00:00:22.64,893,1358,still opening cereal box,open,3,box:cereal,23,['box:cereal'],[23]
11102,P02_129_350,P02,P02_129,00:12:05.653,00:12:05.40,00:12:05.86,36270,36293,open garlic presser,open,3,presser:garlic,172,['presser:garlic'],[172]
52064,P26_116_56,P26,P26_116,00:02:23.399,00:02:18.72,00:02:24.11,6936,7205,put down baking tray,put-down,1,tray:baking,35,['tray:baking'],[35]
63080,P30_113_126,P30,P30_113,00:05:15.101,00:05:14.02,00:05:14.45,15701,15722,take knife,take,0,knife,4,['knife'],[4]
64579,P35_104_514,P35,P35_104,00:36:10.601,00:36:09.54,00:36:11.38,108477,108569,put down spoon,put-down,1,spoon,1,['spoon'],[1]
66930,P37_101_42,P37,P37_101,00:02:10.406,00:02:10.35,00:02:12.27,6517,6613,rinse chicken thighs,rinse,2,thigh:chicken,57,['thigh:chicken'],[57]
49311,P25_102_129,P25,P25_102,00:08:10.357,00:08:09.16,00:08:10.16,24458,24508,open drawer,open,3,drawer,8,['drawer'],[8]
1062,P01_09_140,P01,P01_09,00:10:41.260,00:10:40.30,00:10:41.34,38418,38480,take flower bag,take,0,bag:flower,19,['bag:flower'],[19]
48603,P24_08_291,P24,P24_08,00:20:42.790,00:20:42.77,00:20:44.43,74566,74665,take cheese,take,0,cheese,32,['cheese'],[32]
53738,P27_101_399,P27,P27_101,00:18:50.857,00:18:50.81,00:18:51.46,56540,56573,put down sponge,put-down,1,sponge,9,['sponge'],[9]
59160,P30_04_22,P30,P30_04,00:01:19.870,00:01:15.63,00:01:20.21,4537,4812,put mug,put,1,mug,13,['mug'],[13]
25364,P06_103_149,P06,P06_103,00:11:25.414,00:11:24.48,00:11:30.00,34224,34500,put herb on chopping board,put-on,1,herb,62,"['herb', 'board:chopping']","[62, 18]"
36503,P22_05_227,P22,P22_05,00:10:24.310,00:10:22.02,00:10:29.22,37321,37753,take skins,take,0,skin,48,['skin'],[48]
3986,P01_109_645,P01,P01_109,00:48:13.350,00:48:13.26,00:48:14.60,144663,144730,pick up cloth,pick-up,0,cloth,17,['cloth'],[17]
12983,P03_09_57,P03,P03_09,00:01:51.520,00:01:47.08,00:01:50.58,6424,6634,get butter,get,0,butter,78,['butter'],[78]
49291,P25_102_110,P25,P25_102,00:06:33.607,00:06:32.62,00:06:33.80,19631,19690,pick up sponge,pick-up,0,sponge,9,['sponge'],[9]
59667,P30_05_485,P30,P30_05,00:37:08.320,00:37:00.12,00:37:03.57,133207,133414,continue wiping surface,wipe,2,surface,42,['surface'],[42]
53526,P27_101_207,P27,P27_101,00:08:46.601,00:08:46.15,00:08:47.65,26307,26382,pick up plate,pick-up,0,plate,2,['plate'],[2]
57134,P28_10_6,P28,P28_10,00:00:17.840,00:00:17.93,00:00:22.43,1075,1345,open bread package,open,3,package:bread,26,['package:bread'],[26]
27868,P08_05_104,P08,P08_05,00:07:31.950,00:07:30.57,00:07:33.40,27034,27204,wash knife,wash,2,knife,4,['knife'],[4]
3498,P01_109_205,P01,P01_109,00:09:39.867,00:09:40.01,00:09:41.13,29000,29056,rinse hands,rinse,2,hand,11,['hand'],[11]
17583,P04_102_13,P04,P04_102,00:00:37.600,00:00:37.96,00:00:39.43,1898,1971,put down fish,put-down,1,fish,119,['fish'],[119]
15498,P03_16_21,P03,P03_16,00:01:03.589,00:01:02.96,00:01:04.21,3777,3852,put salt inside,put,1,salt,38,['salt'],[38]
2820,P01_105_644,P01,P01_105,00:26:49.351,00:26:48.88,00:26:49.95,80444,80497,put down knife,put-down,1,knife,4,['knife'],[4]
53479,P27_101_165,P27,P27_101,00:07:02.859,00:07:02.91,00:07:06.57,21145,21328,wash glass,wash,2,glass,10,['glass'],[10]
63158,P30_113_68,P30,P30_113,00:02:24.602,00:02:24.22,00:02:25.32,7211,7266,rinse spoon,rinse,2,spoon,1,['spoon'],[1]
56418,P28_103_188,P28,P28_103,00:17:54.155,00:17:53.45,00:17:54.20,53672,53710,take spatula,take,0,spatula,20,['spatula'],[20]
46920,P23_102_329,P23,P23_102,00:32:35.355,00:32:35.49,00:32:36.13,97774,97806,put glass,put,1,glass,10,['glass'],[10]
40383,P22_109_502,P22,P22_109,00:21:04.101,00:21:03.36,00:21:04.27,63167,63213,pick up coaster,pick-up,0,coaster,84,['coaster'],[84]
64318,P35_104_28,P35,P35_104,00:01:29.366,00:01:27.64,00:01:36.19,4382,4809,wash glass,wash,2,glass,10,['glass'],[10]
25383,P06_103_166,P06,P06_103,00:13:15.425,00:13:12.39,00:13:15.62,39619,39781,pick up wraps,pick-up,0,wrap,107,['wrap'],[107]
3515,P01_109_220,P01,P01_109,00:10:01.102,00:10:01.19,00:10:01.81,30059,30090,pick up knife,pick-up,0,knife,4,['knife'],[4]
42770,P22_115_63,P22,P22_115,00:01:52.101,00:01:51.60,00:01:53.09,5580,5654,put down spatula and spoon rest,put-down,1,spatula,20,"['spatula', 'rest:spoon']","[20, 109]"
10067,P02_122_5,P02,P02_122,00:00:13.407,00:00:12.65,00:00:14.50,632,725,put oven shelf on floor,put,1,shelf:oven,247,"['shelf:oven', 'floor']","[247, 159]"
50968,P26_09_21,P26,P26_09,00:01:45.390,00:01:45.00,00:01:47.93,6300,6475,pick up pot with salsa,pick-up,0,pot,29,"['pot', 'salsa']","[29, 47]"
32781,P12_04_22,P12,P12_04,00:02:28.390,00:02:14.86,00:02:16.33,8091,8179,wash spoon,wash,2,spoon,1,['spoon'],[1]
62209,P30_10_69,P30,P30_10,00:03:51.270,00:03:50.29,00:03:51.95,13817,13917,wash hands,wash,2,hand,11,['hand'],[11]
5555,P02_01_53,P02,P02_01,00:02:04.420,00:02:02.69,00:02:05.69,7361,7541,pick up coffee pot,pick-up,0,pot:coffee,50,['pot:coffee'],[50]
29273,P08_23_64,P08,P08_23,00:05:22.880,00:05:21.20,00:05:23.18,19272,19390,get salad leaves,get,0,leaf:salad,62,['leaf:salad'],[62]
57818,P28_14_49,P28,P28_14,00:02:33.600,00:02:32.92,00:02:36.44,9175,9386,rinse hands,rinse,2,hand,11,['hand'],[11]
11007,P02_129_265,P02,P02_129,00:09:15.909,00:09:15.66,00:09:18.89,27783,27944,sponge knife,sponge,2,knife,4,['knife'],[4]
58049,P29_01_274,P29,P29_01,00:17:31.180,00:17:22.84,00:17:23.48,62570,62608,pick up knife,pick-up,0,knife,4,['knife'],[4]
52204,P26_117_93,P26,P26_117,00:09:01.101,00:09:01.43,00:09:02.73,27071,27136,pick up chicken,pick-up,0,chicken,57,['chicken'],[57]
46454,P23_101_227,P23,P23_101,00:21:40.850,00:21:41.01,00:21:41.69,65050,65084,take pan,take,0,pan,5,['pan'],[5]
57050,P28_108_6,P28,P28_108,00:01:34.667,00:01:34.44,00:01:35.31,4722,4765,put fork,put,1,fork,14,['fork'],[14]
53132,P27_01_40,P27,P27_01,00:04:07.599,00:04:15.33,00:04:17.54,15319,15452,take cake tin,take,0,tin:cake,35,['tin:cake'],[35]
14443,P03_117_118,P03,P03_117,00:06:30.377,00:06:29.56,00:06:37.72,19478,19886,wash bowl,wash,2,bowl,7,['bowl'],[7]
25519,P06_104_7,P06,P06_104,00:00:39.407,00:00:37.38,00:00:40.09,1869,2004,pick up oven glove,pick-up,0,glove:oven,60,['glove:oven'],[60]
54711,P27_104_247,P27,P27_104,00:12:14.111,00:12:14.15,00:12:14.99,36707,36749,pick up spatula,pick-up,0,spatula,20,['spatula'],[20]
11891,P02_131_73,P02,P02_131,00:04:21.907,00:04:21.50,00:04:34.75,13075,13737,rinse bowl,rinse,2,bowl,7,['bowl'],[7]
52798,P26_18_40,P26,P26_18,00:05:02.440,00:05:01.80,00:05:04.51,18108,18270,put cup,put,1,cup,13,['cup'],[13]
47721,P24_04_41,P24,P24_04,00:02:58.630,00:02:58.29,00:02:59.56,10697,10773,pick up knife,pick-up,0,knife,4,['knife'],[4]
63366,P31_01_28,P31,P31_01,00:02:41.450,00:02:47.51,00:02:49.17,10050,10150,open fridge,open,3,fridge,12,['fridge'],[12]
36838,P22_05_87,P22,P22_05,00:03:32.680,00:03:31.58,00:03:32.28,12694,12736,rinse hands,rinse,2,hand,11,['hand'],[11]
57247,P28_111_166,P28,P28_111,00:08:23.405,00:08:21.00,00:08:31.86,25050,25593,wash saucepan,wash,2,saucepan,5,['saucepan'],[5]
47105,P23_102_497,P23,P23_102,00:47:58.112,00:47:58.39,00:48:05.67,143919,144283,take spoon,take,0,spoon,1,['spoon'],[1]
52002,P26_115_60,P26,P26_115,00:03:03.148,00:03:02.80,00:03:04.08,9140,9204,open cupboard,open,3,cupboard,3,['cupboard'],[3]
46869,P23_102_283,P23,P23_102,00:30:12.601,00:30:12.81,00:30:13.39,90640,90669,take knife,take,0,knife,4,['knife'],[4]
43335,P22_117_370,P22,P22_117,00:13:49.600,00:13:48.56,00:13:49.85,41428,41492,put down pepper,put-down,1,pepper,37,['pepper'],[37]
65893,P35_108_298,P35,P35_108,00:19:41.350,00:19:40.64,00:19:41.79,59032,59089,pick up cloth,pick-up,0,cloth,17,['cloth'],[17]
34588,P15_08_20,P15,P15_08,00:02:18.200,00:02:16.61,00:02:20.26,8196,8415,store glass,store,1,glass,10,['glass'],[10]
52153,P26_117_47,P26,P26_117,00:02:34.100,00:02:35.19,00:02:35.66,7759,7783,put down pan,put-down,1,pan,5,['pan'],[5]
66858,P37_101_317,P37,P37_101,00:23:43.905,00:23:43.94,00:23:45.39,71197,71269,put smashed garlic to bowl,put,1,garlic:smashed,51,"['garlic:smashed', 'bowl']","[51, 7]"
64129,P35_104_109,P35,P35_104,00:06:36.698,00:06:36.54,00:06:37.59,19827,19879,pick up scale,pick-up,0,scale,108,['scale'],[108]
42960,P22_116_33,P22,P22_116,00:01:18.158,00:01:17.61,00:01:18.87,3880,3943,open drawer,open,3,drawer,8,['drawer'],[8]
59678,P30_05_495,P30,P30_05,00:37:49.920,00:37:46.65,00:37:48.95,135999,136137,put knife and spoon in drying rack,put,1,knife,4,"['knife', 'spoon', 'rack:drying']","[4, 1, 110]"
384,P01_02_17,P01,P01_02,00:00:50.320,00:00:50.32,00:00:51.14,3019,3068,take plate,take,0,plate,2,['plate'],[2]
2786,P01_105_613,P01,P01_105,00:24:59.111,00:24:57.35,00:24:59.37,74867,74968,put down cutlery,put-down,1,cutlery,58,['cutlery'],[58]
19318,P04_109_268,P04,P04_109,00:08:39.350,00:08:38.90,00:08:44.10,25945,26205,wash pan,wash,2,pan,5,['pan'],[5]
37774,P22_07_91,P22,P22_07,00:03:18.220,00:03:17.33,00:03:18.05,11839,11883,put down knife,put-down,1,knife,4,['knife'],[4]
30752,P10_04_507,P10,P10_04,00:55:27.060,00:55:06.98,00:55:13.51,198418,198810,get another bag,get,0,bag,19,['bag'],[19]
57786,P28_14_2,P28,P28_14,00:00:05.840,00:00:07.45,00:00:10.29,447,617,take bread,take,0,bread,33,['bread'],[33]
13580,P03_107_76,P03,P03_107,00:03:09.632,00:03:09.17,00:03:10.71,9458,9535,open fridge,open,3,fridge,12,['fridge'],[12]
55068,P27_105_254,P27,P27_105,00:13:52.107,00:13:51.60,00:13:57.10,41580,41855,pick up box,pick-up,0,box,23,['box'],[23]
64883,P35_104_86,P35,P35_104,00:05:09.879,00:05:08.89,00:05:15.54,15444,15777,wash plate,wash,2,plate,2,['plate'],[2]
59073,P30_04_101,P30,P30_04,00:06:09.280,00:06:08.67,00:06:09.37,22120,22162,take box,take,0,box,23,['box'],[23]
36232,P21_03_27,P21,P21_03,00:04:13.159,00:04:11.04,00:04:14.78,15062,15286,rinsing a spoon,rinse,2,spoon,1,['spoon'],[1]
5397,P01_19_120,P01,P01_19,00:06:55.660,00:06:54.23,00:06:55.57,24853,24934,rinse cloth,rinse,2,cloth,17,['cloth'],[17]
17035,P04_05_286,P04,P04_05,00:31:44.260,00:31:46.99,00:31:51.65,114419,114699,wash can,wash,2,can,61,['can'],[61]
6063,P02_04_112,P02,P02_04,00:04:32.320,00:04:32.17,00:04:32.93,16330,16375,open trash bin,open,3,bin:trash,36,['bin:trash'],[36]
56646,P28_104_127,P28,P28_104,00:07:11.167,00:07:11.10,00:07:13.65,21555,21682,put bread,put,1,bread,33,['bread'],[33]
56727,P28_104_20,P28,P28_104,00:00:57.157,00:00:56.88,00:00:57.55,2844,2877,put chopping board,put,1,board:chopping,18,['board:chopping'],[18]
23713,P05_04_49,P05,P05_04,00:03:26.000,00:03:26.29,00:03:27.46,12377,12447,place container on table,place,1,container,21,"['container', 'table']","[21, 42]"
57488,P28_112_65,P28,P28_112,00:03:11.907,00:03:11.89,00:03:12.90,9594,9645,take grid,take,0,grid,24,['grid'],[24]
31111,P11_05_13,P11,P11_05,00:00:39.670,00:00:38.75,00:00:39.50,2325,2370,pick up pot,pick-up,0,pot,29,['pot'],[29]
50666,P25_11_38,P25,P25_11,00:04:19.849,00:04:17.40,00:04:34.05,15443,16443,clean kitchen,clean,2,kitchen,157,['kitchen'],[157]
12208,P03_02_13,P03,P03_02,00:00:22.560,00:00:21.46,00:00:22.11,1287,1326,place lunch box,place,1,box:lunch,23,['box:lunch'],[23]
9104,P02_113_40,P02,P02_113,00:01:48.171,00:01:47.69,00:01:51.09,5384,5554,put pine nuts on meat,put-on,1,nut:pine,133,"['nut:pine', 'meat']","[133, 28]"
33877,P12_105_2,P12,P12_105,00:00:37.121,00:00:36.65,00:00:37.36,1832,1868,take mug,take,0,mug,13,['mug'],[13]
6850,P02_09_254,P02,P02_09,00:18:35.950,00:18:35.25,00:18:38.25,66915,67095,pick up oil,pick-up,0,oil,31,['oil'],[31]
9972,P02_122_156,P02,P02_122,00:09:02.655,00:09:01.15,00:09:03.04,27057,27152,pick up grater,pick-up,0,grater,96,['grater'],[96]
8568,P02_109_80,P02,P02_109,00:06:49.406,00:06:48.27,00:06:49.58,20413,20479,pick up garlic press,pick-up,0,press:garlic,172,['press:garlic'],[172]
46421,P23_101_198,P23,P23_101,00:20:47.850,00:20:47.97,00:20:49.61,62398,62480,take turmeric powder,take,0,powder:turmeric,211,['powder:turmeric'],[211]
66634,P37_101_115,P37,P37_101,00:05:07.663,00:05:06.78,00:05:08.34,15338,15416,take bowl,take,0,bowl,7,['bowl'],[7]
64991,P35_105_182,P35,P35_105,00:13:15.351,00:13:14.70,00:13:15.70,39735,39785,take fork,take,0,fork,14,['fork'],[14]
61467,P30_107_838,P30,P30_107,00:44:34.36,00:44:31.89,00:44:33.18,133594,133659,open egg carton,open,3,carton:egg,26,['carton:egg'],[26]
28,P01_01_124,P01,P01_01,00:09:11.520,00:09:13.41,00:09:14.49,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20]
1631,P01_09_653,P01,P01_09,00:45:32.200,00:45:31.97,00:45:33.18,163918,163990,open oven,open,3,oven,46,['oven'],[46]
44172,P22_13_71,P22,P22_13,00:02:22.400,00:02:27.82,00:02:32.97,8869,9178,rinse carafe,rinse,2,carafe,66,['carafe'],[66]
